run 40000
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 9 9 9
Memory usage per processor = 3.8843 Mbytes
Step Time Lx Ly Lz Press Density Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0    62.042138    62.042138    62.042138    912.59449     3.213191     889.3676    924.15136    924.26451    -14395.94       300.15    -14395.94    4762.4356    -9633.504 
       5            5    62.649021    62.649021    62.649021    67.872813    3.1207139    45.791882    78.836669    78.989889   -14251.528    294.11146   -14251.528    4666.6229   -9584.9047 
      10           10    62.796869    62.796869    62.796869   -105.76088    3.0987238   -127.45952   -95.051919   -94.771216   -14216.852    291.96357   -14216.852    4632.5427   -9584.3097 
      15           15    62.775685    62.775685    62.775685   -51.798569    3.1018618   -73.322254   -41.285726   -40.787729   -14200.189    290.89103   -14200.189    4615.5248   -9584.6646 
      20           20     62.74608     62.74608     62.74608    23.965889    3.1062544    2.7221692    34.187038    34.988458   -14177.523    289.40588   -14177.523    4591.9603   -9585.5623 
      25           25    62.772681    62.772681    62.772681    37.699816    3.1023071    16.936165    47.462128    48.701157   -14139.598    286.92445   -14139.598    4552.5878     -9587.01 
      30           30    62.845254    62.845254    62.845254    3.3973388     3.091572   -16.792418    12.644462    14.339973   -14086.384    283.56284   -14086.384    4499.2495   -9587.1341 
      35           35    62.921705    62.921705    62.921705   -24.852509    3.0803168   -44.391048   -16.160616   -14.005864   -14024.972    279.72752   -14024.972    4438.3951    -9586.577 
      40           40    62.974511    62.974511    62.974511   -13.638158    3.0725745   -32.470071   -5.5727982   -2.8716061    -13960.48     275.6863    -13960.48    4374.2738   -9586.2064 
      45           45    63.013974    63.013974    63.013974    23.406822    3.0668054    5.2643328     30.81744    34.138692    -13891.33    271.37222    -13891.33    4305.8228   -9585.5073 
      50           50    63.082639    63.082639    63.082639    33.078903    3.0568017    15.791908    39.762872    43.681929   -13810.968    266.45048   -13810.968    4227.7304   -9583.2378 
      55           55    63.213687    63.213687    63.213687   -24.940309      3.03783   -41.293495   -19.009325   -14.518108   -13715.228    260.68284   -13715.228     4136.216   -9579.0122 
      60           60    63.354145    63.354145    63.354145   -84.254149    3.0176699   -99.617123    -79.08198   -74.063345   -13612.815     254.5446   -13612.815    4038.8215   -9573.9939 
      65           65    63.379278    63.379278    63.379278 -0.076465986    3.0140812   -14.473528     4.260865    9.9832652   -13523.445    249.06108   -13523.445    3951.8152   -9571.6302 
      70           70    63.354469    63.354469    63.354469    152.62065    3.0176236      139.263    156.05303    162.54592   -13434.237     243.7585   -13434.237      3867.68   -9566.5567 
      75           75    63.546629    63.546629    63.546629    48.203259     2.990331    35.947463    50.877119    57.785196   -13314.149    236.62497   -13314.149    3754.4934   -9559.6553 
      80           80    63.805096    63.805096    63.805096    -119.4205    2.9541376   -130.63939   -117.41239   -110.20973   -13181.059    228.83074   -13181.059    3630.8234   -9550.2358 
      85           85     63.86105     63.86105     63.86105   -52.430018    2.9463794   -62.507109   -51.263552   -43.519393    -13073.47    222.38666    -13073.47    3528.5762   -9544.8935 
      90           90    63.880098    63.880098    63.880098    60.141085    2.9437444     51.30668    60.373212    68.743362   -12967.139    216.14146   -12967.139    3429.4845   -9537.6543 
      95           95    64.014437    64.014437    64.014437    44.863149    2.9252503    37.168917     44.36653    53.054002   -12845.784    209.06809   -12845.784    3317.2525   -9528.5319 
     100          100    64.199751    64.199751    64.199751   -23.353342     2.899992   -29.966219   -24.486015   -15.607793   -12718.341    201.64291   -12718.341    3199.4382   -9518.9031 
     105          105    64.331703    64.331703    64.331703   -30.571871    2.8821838   -36.028781   -32.414417   -23.272413     -12597.1     194.5714     -12597.1    3087.2356   -9509.8648 
     110          110    64.411856    64.411856    64.411856    17.753423    2.8714376     13.55284    15.089967    24.617462   -12482.258    187.86617   -12482.258    2980.8447   -9501.4134 
     115          115    64.523537    64.523537    64.523537    31.900925    2.8565533    28.896906    28.478348    38.327522   -12365.333    181.06042   -12365.333    2872.8589   -9492.4744 
