run 10000
All restart file global fix info was re-assigned
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 57 57 57
Memory usage per processor = 3.78201 Mbytes
Step Time Lx Ly Lz Density Volume Press Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0    393.47905    393.47905    393.47905 0.0048453359     60920694    0.9953589   0.99801336    1.0374597   0.95060369    -9.470339    218.77546    -9.470339    1334.9062    1325.4359 
      20          200    396.20731    396.20731    396.20731 0.0047459296     62196714   0.95789525   0.95973716   0.99946398   0.91448462   -9.2232126    215.61614   -9.2232126    1315.6289    1306.4057 
      40          400     398.4191     398.4191     398.4191 0.0046673276     63244162   0.94315775   0.95377371   0.98010232   0.89559723   -8.5343514    215.03506   -8.5343514    1312.0833     1303.549 
      60          600    399.54212    399.54212    399.54212 0.0046280818     63780468   0.94461134   0.95008716   0.98596943   0.89777742   -8.8809804     217.3961   -8.8809804    1326.4897    1317.6088 
      80          800       399.67       399.67       399.67 0.0046236406     63841732     0.957911   0.96400422   0.99691281   0.91281598   -9.4445163    220.55127   -9.4445163    1345.7417    1336.2972 
     100         1000    399.20935    399.20935    399.20935 0.0046396649     63621238   0.98184768   0.98857984    1.0185292   0.93843398   -8.2837748    222.85069   -8.2837748    1359.7721    1351.4883 
     120         1200    398.59141    398.59141    398.59141  0.004661277     63326257   0.98823487   0.98606745    1.0241407   0.95449648   -9.0987348     224.8366   -9.0987348    1371.8896    1362.7909 
     140         1400    397.96339    397.96339    397.96339 0.0046833797     63027396   0.99453757   0.99298236     1.038828   0.95180235    -9.315333    225.95682    -9.315333    1378.7248    1369.4095 
     160         1600    397.43038    397.43038    397.43038 0.0047022481     62774490    1.0036006    1.0036216    1.0451348   0.96204541   -8.6832207    225.87533   -8.6832207    1378.2276    1369.5444 
     180         1800    397.08337    397.08337    397.08337 0.0047145867     62610202   0.99779563    1.0071853    1.0349324   0.95126923    -9.564514    224.79472    -9.564514    1371.6341    1362.0695 
     200         2000    396.81707    396.81707    396.81707  0.004724085     62484317   0.98582753   0.99011781    1.0282204   0.93914438   -10.484964    222.76389   -10.484964    1359.2425    1348.7575 
     220         2200    396.44977    396.44977    396.44977 0.0047372272     62310971   0.98190728   0.98749133    1.0178983   0.94033218   -10.139656    220.40165   -10.139656    1344.8288    1334.6891 
     240         2400    395.92407    395.92407    395.92407 0.0047561224     62063421   0.97956892   0.98310817    1.0159634   0.93963515   -10.267749     218.8996   -10.267749    1335.6636    1325.3959 
     260         2600    395.23763    395.23763    395.23763 0.0047809464     61741171   0.98522682   0.99022294    1.0275995   0.93785802   -9.8077949    218.56171   -9.8077949    1333.6019    1323.7941 
     280         2800    394.46557    394.46557    394.46557 0.0048090736     61380060   0.99348392   0.99744618    1.0411527   0.94185288   -9.8703422    219.68795   -9.8703422     1340.474    1330.6036 
     300         3000    393.72806    393.72806    393.72806 0.0048361484     61036428    1.0066994    1.0148866    1.0475032   0.95770828   -10.326116    222.69437   -10.326116    1358.8183    1348.4922 
     320         3200    393.21372    393.21372    393.21372 0.0048551508     60797540    1.0350246    1.0463494    1.0731832   0.98554113   -9.7962022    227.74559   -9.7962022    1389.6394    1379.8432 
     340         3400    393.26223    393.26223    393.26223 0.0048533546     60820041    1.0571887    1.0615087    1.1017376    1.0083197   -8.9144913    231.73107   -8.9144913    1413.9577    1405.0432 
     360         3600    394.14951    394.14951    394.14951 0.0048206518     61232637    1.0510728    1.0564958    1.0929885    1.0037342    -8.274818     231.7085    -8.274818      1413.82    1405.5451 
     380         3800    395.75561    395.75561    395.75561 0.0047621983     61984236    1.0185845    1.0218869    1.0623998   0.97146668   -8.2889181    228.15841   -8.2889181    1392.1583    1383.8694 
     400         4000    397.50101    397.50101    397.50101 0.0046997422     62807961    0.9829255   0.98601626    1.0238592   0.93890102   -7.8827384    222.89903   -7.8827384     1360.067    1352.1843 
