#run the simulation
run            ${Steps}
run            2000000
Neighbor list info ...
  2 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 22 22 1
Memory usage per processor = 4.97757 Mbytes
Step Time v_strain Temp v_p1 v_p2 v_p3 v_p4 KinEng PotEng Press 
       0       800000 -1.6890359e-15    9.7703778 -1.6890359e-15 0.0079420888 -0.021794484            0    34.928952   -1377.6018    68.356255 
    1000       804000 0.0004952381    9.7703778 0.0004952381  0.013290201 -0.019900152            0    34.928952   -1377.5658    32.617573 
    2000       808000 0.00099047619    9.7703778 0.00099047619  0.018598129 -0.018017063            0    34.928952   -1377.5201   -2.8673376 
    3000       812000 0.0014857143    9.7703778 0.0014857143  0.023863064 -0.016146577            0    34.928952   -1377.4663   -38.077906 
    4000       816000 0.0019809524    9.7703778 0.0019809524  0.029083968 -0.014288153            0    34.928952   -1377.4039   -73.011671 
    5000       820000 0.0024761905    9.7703778 0.0024761905  0.034264068 -0.012441926            0    34.928952   -1377.3344    -107.6839 
    6000       824000 0.0029714286    9.7703778 0.0029714286  0.039398243 -0.010608688            0    34.928952   -1377.2546   -142.06541 
    7000       828000 0.0034666667    9.7703778 0.0034666667  0.044489151 -0.0087870953            0    34.928952   -1377.1664   -176.17595 
    8000       832000 0.0039619048    9.7703778 0.0039619048  0.049539858 -0.006978929            0    34.928952   -1377.0705   -210.02185 
    9000       836000 0.0044571429    9.7703778 0.0044571429   0.05454912 -0.005181666            0    34.928952   -1376.9673   -243.60944 
   10000       840000  0.004952381    9.7703778  0.004952381  0.059514185 -0.0033966668            0    34.928952   -1376.8545   -276.91842 
   11000       844000  0.005447619    9.7703778  0.005447619  0.064438891 -0.0016237871            0    34.928952   -1376.7341   -309.96844 
   12000       848000 0.0059428571    9.7703778 0.0059428571  0.069320197 0.00013769506            0    34.928952   -1376.6047   -342.74805 
   13000       852000 0.0064380952    9.7703778 0.0064380952  0.074164185 0.0018874546            0    34.928952   -1376.4693   -375.28566 
   14000       856000 0.0069333333    9.7703778 0.0069333333  0.078967271 0.0036249565            0    34.928952   -1376.3256   -407.56095 
   15000       860000 0.0074285714    9.7703778 0.0074285714  0.083727731 0.0053513976            0    34.928952   -1376.1731   -439.57132 
   16000       864000 0.0079238095    9.7703778 0.0079238095  0.088449856 0.0070664447            0    34.928952   -1376.0138    -471.3363 
   17000       868000 0.0084190476    9.7703778 0.0084190476  0.093133168 0.0087700355            0    34.928952   -1375.8474   -502.85321 
   18000       872000 0.0089142857    9.7703778 0.0089142857  0.097775521  0.010461995            0    34.928952   -1375.6723   -534.11061 
   19000       876000 0.0094095238    9.7703778 0.0094095238   0.10237871  0.012142668            0    34.928952   -1375.4897   -565.11908 
   20000       880000 0.0099047619    9.7703778 0.0099047619   0.10694132  0.013812059            0    34.928952   -1375.2986   -595.87161 
   21000       884000       0.0104    9.7703778       0.0104   0.11146714  0.015470291            0    34.928952   -1375.1011   -626.38754 
   22000       888000  0.010895238    9.7703778  0.010895238   0.11595196  0.017117468            0    34.928952   -1374.8947   -656.64658 
   23000       892000  0.011390476    9.7703778  0.011390476   0.12040006  0.018753235            0    34.928952   -1374.6815   -686.66812 
   24000       896000  0.011885714    9.7703778  0.011885714   0.12481286  0.020378293            0    34.928952   -1374.4626   -716.46262 
   25000       900000  0.012380952    9.7703778  0.012380952   0.12918656  0.021992316            0    34.928952   -1374.2356   -746.00974 
   26000       904000   0.01287619    9.7703778   0.01287619   0.13352016   0.02359488            0    34.928952   -1373.9994   -775.30242 
   27000       908000  0.013371429    9.7703778  0.013371429   0.13782238  0.025187393            0    34.928952   -1373.7597    -804.3907 
   28000       912000  0.013866667    9.7703778  0.013866667   0.14208529  0.026768329            0    34.928952   -1373.5109   -833.22782 
   29000       916000  0.014361905    9.7703778  0.014361905   0.14630978   0.02833891            0    34.928952   -1373.2543   -861.82427 
   30000       920000  0.014857143    9.7703778  0.014857143   0.15049951  0.029899377            0    34.928952   -1372.9918   -890.19929 
   31000       924000  0.015352381    9.7703778  0.015352381   0.15465505  0.031449478            0    34.928952   -1372.7234   -918.35444 
   32000       928000  0.015847619    9.7703778  0.015847619   0.15877184  0.032988763            0    34.928952   -1372.4463   -946.26502 
   33000       932000  0.016342857    9.7703778  0.016342857   0.16285523  0.034517554            0    34.928952   -1372.1636   -973.95897 
   34000       936000  0.016838095    9.7703778  0.016838095   0.16690475  0.036036624            0    34.928952   -1371.8751   -1001.4378 
   35000       940000  0.017333333    9.7703778  0.017333333   0.17091754  0.037544715            0    34.928952   -1371.5786   -1028.6813 
   36000       944000  0.017828571    9.7703778  0.017828571   0.17489556  0.039042855            0    34.928952   -1371.2756    -1055.704 
   37000       948000   0.01832381    9.7703778   0.01832381   0.17883745  0.040530065            0    34.928952   -1370.9646   -1082.4945 
   38000       952000  0.018819048    9.7703778  0.018819048   0.18274649  0.042007818            0    34.928952   -1370.6482   -1109.0763 
   39000       956000  0.019314286    9.7703778  0.019314286   0.18662276  0.043476321            0    34.928952   -1370.3265   -1135.4507 
   40000       960000  0.019809524    9.7703778  0.019809524   0.19046562  0.044934758            0    34.928952   -1369.9984   -1161.6105 
   41000       964000  0.020304762    9.7703778  0.020304762   0.19427399  0.046381857            0    34.928952   -1369.6626   -1187.5443 
   42000       968000       0.0208    9.7703778       0.0208   0.19804891  0.047820426            0    34.928952   -1369.3211   -1213.2709 
   43000       972000  0.021295238    9.7703778  0.021295238   0.20178839  0.049248355            0    34.928952   -1368.9715     -1238.77 
   44000       976000  0.021790476    9.7703778  0.021790476   0.20549965  0.050667541            0    34.928952   -1368.6188   -1264.0868 
   45000       980000  0.022285714    9.7703778  0.022285714   0.20917711  0.052076797            0    34.928952    -1368.259   -1289.1878 
   46000       984000  0.022780952    9.7703778  0.022780952   0.21282394  0.053476771            0    34.928952   -1367.8943   -1314.0918 
   47000       988000   0.02327619    9.7703778   0.02327619   0.21643738  0.054866986            0    34.928952   -1367.5227    -1338.783 
   48000       992000  0.023771429    9.7703778  0.023771429   0.22002142  0.056248164            0    34.928952   -1367.1466   -1363.2844 
   49000       996000  0.024266667    9.7703778  0.024266667   0.22357222  0.057620022            0    34.928952   -1366.7638   -1387.5758 
   50000      1000000  0.024761905    9.7703778  0.024761905   0.22709264  0.058982626            0    34.928952   -1366.3757   -1411.6717 
   51000      1004000  0.025257143    9.7703778  0.025257143   0.23058048  0.060335822            0    34.928952   -1365.9808   -1435.5603 
   52000      1008000  0.025752381    9.7703778  0.025752381   0.23403708  0.061679424            0    34.928952   -1365.5798   -1459.2475 
   53000      1012000  0.026247619    9.7703778  0.026247619   0.23746284  0.063013345            0    34.928952   -1365.1727   -1482.7347 
   54000      1016000  0.026742857    9.7703778  0.026742857   0.24085668  0.064338924            0    34.928952   -1364.7596   -1506.0232 
   55000      1020000  0.027238095    9.7703778  0.027238095   0.24422517  0.065655151            0    34.928952   -1364.3433   -1529.1405 
   56000      1024000  0.027733333    9.7703778  0.027733333   0.24756244  0.066962888            0    34.928952   -1363.9212   -1552.0618 
   57000      1028000  0.028228571    9.7703778  0.028228571   0.25086874  0.068261275            0    34.928952   -1363.4926   -1574.7842 
   58000      1032000   0.02872381    9.7703778   0.02872381   0.25414199  0.069549164            0    34.928952   -1363.0556   -1597.2917 
   59000      1036000  0.029219048    9.7703778  0.029219048   0.25739008  0.070830361            0    34.928952   -1362.6168   -1619.6419 
   60000      1040000  0.029714286    9.7703778  0.029714286   0.26060481  0.072101911            0    34.928952   -1362.1698     -1641.78 
   61000      1044000  0.030209524    9.7703778  0.030209524    0.2637953  0.073365476            0    34.928952   -1361.7205   -1663.7591 
   62000      1048000  0.030704762    9.7703778  0.030704762   0.26695333  0.074619913            0    34.928952   -1361.2635   -1685.5329 
   63000      1052000       0.0312    9.7703778       0.0312   0.27008186  0.075864278            0    34.928952   -1360.7999   -1707.1114 
   64000      1056000  0.031695238    9.7703778  0.031695238   0.27318459  0.077101257            0    34.928952   -1360.3333   -1728.5263 
   65000      1060000  0.032190476    9.7703778  0.032190476   0.27626316  0.078330333            0    34.928952    -1359.864   -1749.7829 
   66000      1064000  0.032685714    9.7703778  0.032685714   0.27931195  0.079551254            0    34.928952   -1359.3888   -1770.8523 
   67000      1068000  0.033180952    9.7703778  0.033180952   0.28233238  0.080762862            0    34.928952   -1358.9076   -1791.7357 
   68000      1072000   0.03367619    9.7703778   0.03367619   0.28532498  0.081966631            0    34.928952   -1358.4215   -1812.4432 
   69000      1076000  0.034171429    9.7703778  0.034171429   0.28828404  0.083160662            0    34.928952   -1357.9261   -1832.9371 
   70000      1080000  0.034666667    9.7703778  0.034666667   0.29122367  0.084348573            0    34.928952   -1357.4313   -1853.3049 
   71000      1084000  0.035161905    9.7703778  0.035161905   0.29412977  0.085527252            0    34.928952   -1356.9273   -1873.4617 
   72000      1088000  0.035657143    9.7703778  0.035657143   0.29701322  0.086697395            0    34.928952   -1356.4206   -1893.4647 
   73000      1092000  0.036152381    9.7703778  0.036152381   0.29986765  0.087859519            0    34.928952   -1355.9077   -1913.2848 
   74000      1096000  0.036647619    9.7703778  0.036647619   0.30270039  0.089014388            0    34.928952   -1355.3931   -1932.9621 
   75000      1100000  0.037142857    9.7703778  0.037142857   0.30550279   0.09016129            0    34.928952   -1354.8714   -1952.4504 
   76000      1104000  0.037638095    9.7703778  0.037638095   0.30828041  0.091299269            0    34.928952   -1354.3452   -1971.7724 
   77000      1108000  0.038133333    9.7703778  0.038133333   0.31103031  0.092429771            0    34.928952   -1353.8135   -1990.9207 
   78000      1112000  0.038628571    9.7703778  0.038628571   0.31375531  0.093551946            0    34.928952   -1353.2773   -2009.9051 
   79000      1116000   0.03912381    9.7703778   0.03912381   0.31645134  0.094665766            0    34.928952   -1352.7342   -2028.7052 
   80000      1120000  0.039619048    9.7703778  0.039619048   0.31912573   0.09577282            0    34.928952   -1352.1892   -2047.3652 
   81000      1124000  0.040114286    9.7703778  0.040114286   0.32177377  0.096872829            0    34.928952   -1351.6394   -2065.8604 
   82000      1128000  0.040609524    9.7703778  0.040609524   0.32439823  0.097964986            0    34.928952   -1351.0858   -2084.2004 
   83000      1132000  0.041104762    9.7703778  0.041104762   0.32700436  0.099050333            0    34.928952   -1350.5318   -2102.4165 
   84000      1136000       0.0416    9.7703778       0.0416   0.32958262   0.10012736            0    34.928952   -1349.9712   -2120.4539 
   85000      1140000  0.042095238    9.7703778  0.042095238   0.33213694   0.10119668            0    34.928952   -1349.4064   -2138.3352 
   86000      1144000  0.042590476    9.7703778  0.042590476   0.33466883    0.1022579            0    34.928952   -1348.8379   -2156.0658 
   87000      1148000  0.043085714    9.7703778  0.043085714    0.3371718   0.10331253            0    34.928952   -1348.2628   -2173.6212 
