#since we restart everything set timestep to 0
reset_timestep   0
#directives for computing properties
compute          csym all centro/atom fcc
compute          peratom all pe/atom


# --- STORE INITIAL LENGTH AND SPECIFY STRAIN RATE -----------------------------
# assign varaibles for estimating strain and strain rate
# first store length of the sytem
variable        L0 equal $(lx)
variable        L0 equal 151.75464058626582187
# assign a strain rate which should equilibriate after each step
variable        srate equal 0.013e10
variable        srate1 equal "v_srate / 1.05e15"
print            "${srate1}"
1.23809523809524e-07
# fix for deforming the system in x-direction
fix             2 all deform 1 x erate ${srate1} units box remap x
fix             2 all deform 1 x erate 1.23809523809524e-07 units box remap x


# ---- SPECIFY COMPUTES --------------------------------------------------------
# Output strain and stress information to file
# for units metal, pressure is in [bar] = 100kPa = 1/10000 [GPa]
# for units real, pressure is in [atm] = 101.325 [kPa] = 101.325e-6 [GPa]
# p1, p2, p3, p4 aer in GPa
variable       strain equal "(lx - v_L0)/v_L0"
variable       p1 equal "v_strain"
variable       p2 equal "-pxx*101.325e-6"
variable       p3 equal "-pyy*101.325e-6"
variable       p4 equal "-pzz*101.325e-6"


# ---- STORE INITIALS AND ENFORCE DEFORMATION ----------------------------------
# fix for writing the strain and stresses to file
fix            def1 all print 100 "{p1}_{p2}_{p3}_{p4}" file stress_strain.txt screen no
# writing trajectory
dump           2 all atom 5000 ./dump/dump.tensile_*.atom
dump           3 all cfg 5000 ./dump/dump.test.*.cfg mass type xs ys zs id type c_peratom
dump           4 all atom 5000 ./dump/dump.xyz_*.xyz
# display thermo
thermo          1000
thermo_style   custom step v_strain temp v_p2 v_p3 v_p4 ke pe press
#run the simulation
run            ${Steps}
run            200000
Neighbor list info ...
  2 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 22 22 1
Memory usage per processor = 5.91748 Mbytes
Step v_strain Temp v_p2 v_p3 v_p4 KinEng PotEng Press 
       0 -1.1237235e-15    9.7988645  0.014758815 -0.028579457            0    35.030792   -1369.7768    68.199568 
    1000 0.00012380952    9.7988645  0.016075095 -0.028106316            0    35.030792   -1369.7662    59.369458 
    2000 0.00024761905    9.7988645  0.017388165  -0.02763349            0    35.030792    -1369.754    50.556747 
    3000 0.00037142857    9.7988645  0.018699721 -0.027162662            0    35.030792   -1369.7413    41.761371 
    4000 0.0004952381    9.7988645  0.020007353 -0.026691418            0    35.030792   -1369.7281    32.983298 
    5000 0.00061904762    9.7988645  0.021313079 -0.026220869            0    35.030792   -1369.7148    24.218061 
    6000 0.00074285714    9.7988645  0.022615267 -0.025751174            0    35.030792   -1369.7005    15.474499 
    7000 0.00086666667    9.7988645  0.023916403 -0.025282118            0    35.030792   -1369.6867    6.7392809 
    8000 0.00099047619    9.7988645  0.025213923 -0.024813826            0    35.030792   -1369.6718   -1.9743217 
    9000 0.0011142857    9.7988645  0.026508748 -0.024346316            0    35.030792   -1369.6564   -10.670773 
   10000 0.0012380952    9.7988645  0.027801719 -0.023879523            0    35.030792   -1369.6409   -19.354533 
   11000 0.0013619048    9.7988645  0.029091978 -0.023413482            0    35.030792    -1369.625   -28.021199 
   12000 0.0014857143    9.7988645  0.030377023 -0.022948378            0    35.030792    -1369.607   -36.657511 
   13000 0.0016095238    9.7988645   0.03166106 -0.022483921            0    35.030792   -1369.5894   -45.285662 
   14000 0.0017333333    9.7988645  0.032943215 -0.022020128            0    35.030792   -1369.5719   -53.901244 
   15000 0.0018571429    9.7988645  0.034221784 -0.021557086            0    35.030792   -1369.5533   -62.495426 
   16000 0.0019809524    9.7988645   0.03549856 -0.021094786            0    35.030792   -1369.5347   -71.077097 
   17000 0.0021047619    9.7988645  0.036771826 -0.020633301            0    35.030792   -1369.5151    -79.63743 
   18000 0.0022285714    9.7988645  0.038041688 -0.020172729            0    35.030792   -1369.4945    -88.17646 
   19000  0.002352381    9.7988645  0.039309578 -0.019712701            0    35.030792   -1369.4738    -96.70307 
   20000 0.0024761905    9.7988645  0.040575657 -0.019253374            0    35.030792   -1369.4531   -105.21729 
   21000       0.0026    9.7988645  0.041839074 -0.018794787            0    35.030792   -1369.4319   -113.71471 
   22000 0.0027238095    9.7988645  0.043098176 -0.018337076            0    35.030792   -1369.4092   -122.18653 
   23000  0.002847619    9.7988645  0.044355388 -0.017879968            0    35.030792   -1369.3865   -130.64604 
   24000 0.0029714286    9.7988645  0.045610444 -0.017424087            0    35.030792   -1369.3632   -139.08886 
   25000 0.0030952381    9.7988645  0.046862492 -0.016968575            0    35.030792   -1369.3394   -147.51501 
   26000 0.0032190476    9.7988645    0.0481118 -0.016513696            0    35.030792   -1369.3152   -155.92452 
   27000 0.0033428571    9.7988645   0.04935848 -0.016059555            0    35.030792   -1369.2904   -164.31742 
   28000 0.0034666667    9.7988645  0.050602162  -0.01560667            0    35.030792   -1369.2646   -172.68932 
   29000 0.0035904762    9.7988645  0.051844459 -0.015153964            0    35.030792   -1369.2393   -181.05352 
   30000 0.0037142857    9.7988645  0.053083683 -0.014702428            0    35.030792    -1369.213   -189.39677 
   31000 0.0038380952    9.7988645  0.054320183 -0.014251511            0    35.030792   -1369.1861   -197.72352 
   32000 0.0039619048    9.7988645  0.055553806 -0.013801053            0    35.030792   -1369.1588   -206.03382 
   33000 0.0040857143    9.7988645  0.056783746 -0.013352031            0    35.030792     -1369.13   -214.31885 
   34000 0.0042095238    9.7988645   0.05801133 -0.012903082            0    35.030792   -1369.1012    -222.5919 
   35000 0.0043333333    9.7988645  0.059237175 -0.012454817            0    35.030792   -1369.0723   -230.85299 
   36000 0.0044571429    9.7988645  0.060459598 -0.012007335            0    35.030792   -1369.0425   -239.09333 
